OFFSET       END               BYTES  PATH
0x1B45EC40   0x1B473040        82944  /yug_fontb0.dat
0x4AA35E80   0x4AA4BF00        90240  /zelosz.bin
0x4AA4BF00   0x4AA8F2E0       275424  /zelosz000.bin
0x4AA8F2E0   0x4AACD4A0       254400  /zelosz001.bin
0x4AACD4A0   0x4AB07CA0       239616  /zelosz002.bin
0x4AB07CA0   0x4AB4B8A0       277504  /zelosz003.bin
0x4AB4B8A0   0x4AB63660        97728  /zelosz_ex.bin
0x4AB63660   0x4AB9EE00       243616  /zelosz_low.bin
0x4AB9EE00   0x4ACE98E0      1354464  /zel_all.bin
                                      /EV/
0x385F36E8   0x393186E8     13783040  /EV/sce_084_090.afs
0x393186E8   0x3A69C6E8     20463616  /EV/sce_091_100.afs
0x3A69C6E8   0x3C952EE8     36399104  /EV/sce_101_110.afs
0x3C952EE8   0x3DC92EE8     20185088  /EV/sce_111_120.afs
0x3DC92EE8   0x40453EE8     41684992  /EV/sce_121_132.afs
                                      /MOV/
0x002D8000   0x01DBAADE     28191454  /MOV/as2.h4m
0x01DC0000   0x0A48E162    141353314  /MOV/as3.h4m
0x0A490000   0x0E695DEE     69230062  /MOV/op.h4m
0x0E698000   0x0F6009B1     16157105  /MOV/s09.h4m
0x0F608000   0x1048C9CA     15223242  /MOV/s10.h4m
                                      /CV/
0x40453EE8   0x4077DEE8      3317760  /CV/cht_common.afs
0x4077DEE8   0x45595EE8     81887232  /CV/cht_disc_1.afs
0x45595EE8   0x486F26E8     51759104  /CV/cht_disc_2.afs
                                      /MAP/
0x1B473050   0x1B570296      1036870  /MAP/aqu_d00.bin
0x1B570298   0x1B623194       732924  /MAP/aqu_d01.bin
0x1B623194   0x1B6E6CBC       801576  /MAP/aqu_d02.bin
0x1B6E6CBC   0x1B7BF472       886710  /MAP/aqu_d03.bin
0x1B7BF474   0x1B8699F6       697730  /MAP/aqu_d04.bin
0x1B8699F8   0x1B95A001       984585  /MAP/art_i00b.bin
0x1B95A004   0x1BA5CFD3      1060815  /MAP/art_i00_00.bin
0x1BA5CFD4   0x1BB304F3       865567  /MAP/art_i00_01.bin
0x1BB304F4   0x1BC53A63      1193327  /MAP/art_i00_02.bin
0x1BC53A64   0x1BD081EF       739211  /MAP/art_i00_03.bin
0x1BD081F0   0x1BDE7CFD       916237  /MAP/art_i00_04.bin
0x1BDE7D00   0x1BF2DF55      1335893  /MAP/art_i00_05.bin
0x1BF2DF58   0x1C01F949       989681  /MAP/art_i00_06.bin
0x1C01F94C   0x1C0D3B43       737783  /MAP/art_i00_07.bin
0x1C0D3B44   0x1C220F6B      1365031  /MAP/art_i01_00.bin
0x1C220F6C   0x1C3043A1       930869  /MAP/art_i01_01.bin
0x1C3043A4   0x1C48B963      1603007  /MAP/art_i01_02.bin
0x1C48B964   0x1C5E97F9      1433237  /MAP/art_i01_03.bin
0x1C5E97FC   0x1C69A612       724502  /MAP/art_i02.bin
0x1C69A614   0x1C786A84       967792  /MAP/art_t00.bin
0x1C786A84   0x1C834EDE       713818  /MAP/art_t01.bin
0x1C834EE0   0x1C8A177A       444570  /MAP/art_t02.bin
0x1C8A177C   0x1C93BBD8       631900  /MAP/art_t03.bin
0x1C93BBD8   0x1CA04AFE       823078  /MAP/art_t04.bin
0x1CA04B00   0x1CB35714      1248276  /MAP/ask_i00.bin
0x1CB35714   0x1CBDD87B       688487  /MAP/ask_i01_00.bin
0x1CBDD87C   0x1CC34B71       357109  /MAP/ask_i01_01.bin
0x1CC34B74   0x1CCD2BD7       647267  /MAP/ask_i01_02.bin
0x1CCD2BD8   0x1CD620D1       587001  /MAP/ask_i01_03.bin
0x1CD620D4   0x1CDF98C3       620527  /MAP/ask_i02_00.bin
0x1CDF98C4   0x1CE87B37       582259  /MAP/ask_i02_01.bin
0x1CE87B38   0x1CF0F3CD       555157  /MAP/ask_i02_02.bin
0x1CF0F3D0   0x1CFA4535       610661  /MAP/ask_i02_03.bin
0x1CFA4538   0x1D06792E       799734  /MAP/ask_i03.bin
0x1D067930   0x1D131A42       827666  /MAP/ask_i04.bin
0x1D131A44   0x1D1F08ED       781993  /MAP/ask_i05_00.bin
0x1D1F08F0   0x1D2BCE97       837031  /MAP/ask_i05_01.bin
0x1D2BCE98   0x1D385CA0       822792  /MAP/ask_i06.bin
0x1D385CA0   0x1D4DB0A9      1397769  /MAP/ask_i07_00.bin
0x1D4DB0AC   0x1D5CA32D       979585  /MAP/ask_i07_01.bin
0x1D5CA330   0x1D6CC625      1057525  /MAP/ask_i08_00.bin
0x1D6CC628   0x1D7F8035      1227277  /MAP/ask_i08_01.bin
0x1D7F8038   0x1D95EFE2      1470378  /MAP/ask_i09.bin
0x1D95EFE4   0x1DA4A831       964685  /MAP/ask_i10_00.bin
0x1DA4A834   0x1DB5313B      1083655  /MAP/ask_i10_01.bin
0x1DB5313C   0x1DC49794      1009240  /MAP/ask_i11.bin
0x1DC49794   0x1DD4930C      1047416  /MAP/ask_t00.bin
0x1DD4930C   0x1DE627B8      1152172  /MAP/ask_t01.bin
0x1DE627B8   0x1DF979A0      1266152  /MAP/ask_t02.bin
0x1DF979A0   0x1E04F22B       751755  /MAP/bar_i00_00.bin
0x1E04F22C   0x1E111777       795979  /MAP/bar_i00_01.bin
0x1E111778   0x1E1A2AA9       594737  /MAP/bar_i00_02.bin
0x1E1A2AAC   0x1E214930       466564  /MAP/bar_i01.bin
0x1E214930   0x1E289EE9       480697  /MAP/bar_i02_00.bin
0x1E289EEC   0x1E2EB93B       399951  /MAP/bar_i02_01.bin
0x1E2EB93C   0x1E4043B3      1149559  /MAP/bar_i04_00.bin
0x1E4043B4   0x1E503E9D      1047273  /MAP/bar_i04_01.bin
0x1E503EA0   0x1E60C4A0      1082880  /MAP/bar_i05.bin
0x1E60C4A0   0x1E69E3A9       597769  /MAP/bar_i06_00.bin
0x1E69E3AC   0x1E728DF3       567879  /MAP/bar_i06_01.bin
0x1E728DF4   0x1E7B93C5       591313  /MAP/bar_i06_02.bin
0x1E7B93C8   0x1E8D9927      1181023  /MAP/bar_i06_03.bin
0x1E8D9928   0x1E956F3B       513555  /MAP/bar_i06_04.bin
0x1E956F3C   0x1EA07151       721429  /MAP/bar_i06_05.bin
0x1EA07154   0x1EAF9052       990974  /MAP/bar_t00.bin
0x1EAF9054   0x1EC01C52      1084414  /MAP/bar_t01.bin
0x1EC01C54   0x1ECCBCF4       827552  /MAP/bar_t02.bin
0x1ECCBCF4   0x1ED8B5B6       784578  /MAP/bar_t03.bin
0x1ED8B5B8   0x1EE5E6B0       864504  /MAP/bar_t04.bin
0x1EE5E6B0   0x1EF28476       826822  /MAP/bri_d00.bin
0x1EF28478   0x1EFD332C       700084  /MAP/bri_d01.bin
0x1EFD332C   0x1F03838C       413792  /MAP/bri_d02.bin
0x1F03838C   0x1F10942A       856222  /MAP/bri_d03.bin
0x1F10942C   0x1F13C3BE       208786  /MAP/can_i00.bin
0x1F13C3C0   0x1F20B138       847224  /MAP/can_t00.bin
0x1F20B138   0x1F2A7165       639021  /MAP/chu_i00_00.bin
0x1F2A7168   0x1F37790F       853927  /MAP/chu_i00_01.bin
0x1F377910   0x1F419BB1       664225  /MAP/chu_i01_00.bin
0x1F419BB4   0x1F4CF0DD       742697  /MAP/chu_i01_01.bin
0x1F4CF0E0   0x1F5D03DB      1053435  /MAP/chu_i08_00.bin
0x1F5D03DC   0x1F68676D       746385  /MAP/chu_i08_01.bin
0x1F686770   0x1F77F765      1019893  /MAP/chu_i10_00.bin
0x1F77F768   0x1F83C72D       774085  /MAP/chu_i10_01.bin
0x1F83C730   0x1F943BD5      1078437  /MAP/chu_i11_00.bin
0x1F943BD8   0x1FA1FECB       901875  /MAP/chu_i11_01.bin
0x1FA1FECC   0x1FAE7C3E       818546  /MAP/chu_t00.bin
0x1FAE7C40   0x1FBB4E2A       840170  /MAP/chu_t01.bin
0x1FBB4E2C   0x1FC9DC3E       953874  /MAP/chu_t02.bin
0x1FC9DC40   0x1FD2F6C0       596608  /MAP/chu_t03.bin
0x1FD2F6C0   0x1FD9DE50       452496  /MAP/chu_t08.bin
0x1FD9DE50   0x1FE07338       431336  /MAP/chu_t10.bin
0x1FE07338   0x1FEB0674       693052  /MAP/chu_t11.bin
0x1FEB0674   0x1FF42860       598508  /MAP/chu_t12.bin
0x1FF42860   0x200839F6      1315222  /MAP/cot_i00.bin
0x200839F8   0x20186702      1060106  /MAP/cot_t00.bin
0x20186704   0x202147DA       581846  /MAP/dar_d00.bin
0x202147DC   0x202D1268       772748  /MAP/dar_d01.bin
0x202D1268   0x20365EE8       609408  /MAP/dar_d02.bin
0x20365EE8   0x203BAD94       347820  /MAP/del_d00.bin
0x203BAD94   0x2046F369       738773  /MAP/del_d01_00.bin
0x2046F36C   0x204F2E41       539349  /MAP/del_d01_01.bin
0x204F2E44   0x205FC7F6      1087922  /MAP/del_d02.bin
0x205FC7F8   0x2067EF01       534281  /MAP/del_d03_00.bin
0x2067EF04   0x20701D6D       536169  /MAP/del_d03_01.bin
0x20701D70   0x207A3F8A       664090  /MAP/del_d04.bin
0x207A3F8C   0x20811056       446666  /MAP/del_d05.bin
0x20811058   0x208E85BA       882018  /MAP/del_d06.bin
0x208E85BC   0x20981C38       628348  /MAP/del_d07.bin
0x20981C38   0x20AEAC60      1478696  /MAP/dra_d00.bin
0x20AEAC60   0x20BE786D      1035277  /MAP/dwa_i00_00.bin
0x20BE7870   0x20CCD343       940755  /MAP/dwa_i00_01.bin
0x20CCD344   0x20D48E57       506643  /MAP/dwa_i00_02.bin
0x20D48E58   0x20E4B8FE      1059494  /MAP/dwa_t00.bin
0x20E4B900   0x20EC7413       506643  /MAP/dwb_i00_00.bin
0x20EC7414   0x20F42F27       506643  /MAP/dwb_i00_01.bin
0x20F42F28   0x20FBEA3B       506643  /MAP/dwb_i00_02.bin
0x20FBEA3C   0x21060D30       664308  /MAP/dwb_t00.bin
0x21060D30   0x210F07E6       588470  /MAP/dwb_t01.bin
0x210F07E8   0x21186752       614250  /MAP/ela_d00.bin
0x21186754   0x21241BE0       767116  /MAP/ela_d01.bin
0x21241BE0   0x2128BFC6       304102  /MAP/ela_d02.bin
0x2128BFC8   0x21341EA0       745176  /MAP/ela_d03.bin
0x21341EA0   0x213F3DFF       728927  /MAP/ela_d03b.bin
0x213F3E00   0x214AC9FD       756733  /MAP/ela_d03c.bin
0x214ACA00   0x214FD796       331158  /MAP/ela_d04.bin
0x214FD798   0x215F08E2       995658  /MAP/ela_d05.bin
0x215F08E4   0x21672370       531084  /MAP/elb_d00.bin
0x21672370   0x2174062E       844478  /MAP/elb_d01.bin
0x21740630   0x217E7C44       685588  /MAP/elb_d02.bin
0x217E7C44   0x2188E50E       682186  /MAP/elb_d03.bin
0x2188E510   0x2197E3C8       982712  /MAP/elb_d04.bin
0x2197E3C8   0x21A72DC0      1001976  /MAP/elb_d05.bin
0x21A72DC0   0x21AE9FDE       487966  /MAP/elb_d06.bin
0x21AE9FE0   0x21B8CF36       667478  /MAP/elb_d07.bin
0x21B8CF38   0x21BE4DBE       360070  /MAP/elb_d08.bin
0x21BE4DC0   0x21CA28E2       776994  /MAP/elb_d09.bin
0x21CA28E4   0x21D66B22       803390  /MAP/elb_d10.bin
0x21D66B24   0x21E21878       765268  /MAP/elb_d11.bin
0x21E21878   0x21E959D4       475484  /MAP/elb_d12.bin
0x21E959D4   0x21F542DA       780550  /MAP/elb_d13.bin
0x21F542DC   0x21FEFB68       637068  /MAP/elb_d14.bin
0x21FEFB68   0x220D7E36       950990  /MAP/elc_d00.bin
0x220D7E38   0x221CFE5A      1015842  /MAP/elc_d01.bin
0x221CFE5C   0x222CA18E      1024818  /MAP/elc_d02.bin
0x222CA190   0x223D667E      1098990  /MAP/elc_d03.bin
0x223D6680   0x2248CA90       746512  /MAP/elc_d04.bin
0x2248CA90   0x224FB74E       453822  /MAP/elc_d05.bin
0x224FB750   0x225B40A8       756056  /MAP/elc_d06.bin
0x225B40A8   0x2266CA58       756144  /MAP/elc_d07.bin
0x2266CA58   0x22725324       755916  /MAP/elc_d08.bin
0x22725324   0x227DDA0E       755434  /MAP/elc_d09.bin
0x227DDA10   0x22907B3E      1220910  /MAP/elc_d10.bin
0x22907B40   0x22A9E630      1665776  /MAP/elc_d11.bin
0x22A9E630   0x22BA0A9C      1057900  /MAP/elc_d12.bin
0x22BA0A9C   0x22C52706       728170  /MAP/elc_d13.bin
0x22C52708   0x22CF48F2       664042  /MAP/elc_d14.bin
0x22CF48F4   0x22DCB87E       880522  /MAP/elc_d15.bin
0x22DCB880   0x22E4D50A       531594  /MAP/elc_d16.bin
0x22E4D50C   0x22F333B4       941736  /MAP/exd_d00.bin
0x22F333B4   0x22FBC508       561492  /MAP/exz_i00.bin
0x22FBC508   0x2306BA1B       718099  /MAP/exz_i01_00.bin
0x2306BA1C   0x23106443       633383  /MAP/exz_i01_01.bin
